Direction,District,Elevator,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,Year
 南 北 ,文一西路, 无电梯,7,金成花园  ,103102194340, 3室2厅 ,480,西湖, 简装 ,132.77,1998
 南 ,文三西路, 无电梯,6,山水人家香溪地  ,103101767801, 4室2厅 ,585,西湖, 简装 ,144.86,2005
 南 北 ,文三西路, 无电梯,7,紫金公寓  ,103102847920, 3室2厅 ,380,西湖, 毛坯 ,98.65,1996
 南 ,文一西路, 无电梯,6,春天花园  ,103101947504, 4室2厅 ,600,西湖, 精装 ,145.82,2001
 南 ,嘉绿, 无电梯,7,嘉绿北苑  ,103101781030, 2室2厅 ,352,西湖, 简装 ,71.42,1998
 南 ,嘉绿, 有电梯,24,嘉绿福苑  ,103102487339, 2室1厅 ,325,西湖, 精装 ,73.75,2007
 南 北 ,古荡, 无电梯,6,古荡新村西区  ,103102663423, 2室1厅 ,210,西湖, 简装 ,51.05,1990
 南 北 ,申花, 有电梯,11,港湾家园  ,103100751340, 2室2厅 ,620,西湖, 简装 ,119.51,2006
 南 北 ,嘉绿, 无电梯,6,物华小区  ,103101945266, 3室2厅 ,430,西湖, 精装 ,135.71,1998
 南 ,转塘, 有电梯,27,朗郡庭园  ,103101393028, 5室2厅 ,600,西湖, 毛坯 ,210,2011
 南 北 ,三墩, 有电梯,25,金地自在城  ,103101733613, 2室2厅 ,290,西湖, 精装 ,79.39,2012
 南 北 ,文三西路, 无电梯,7,紫金公寓  ,103102401833, 3室2厅 ,390,西湖, 简装 ,98.65,1996
 南 北 ,翠苑, 无电梯,7,翠苑五区  ,103102413420, 3室1厅 ,358,西湖, 简装 ,75.68,1996
 东 南 北 ,文教, 无电梯,5,溪畔花园  ,103102458273, 2室1厅 ,315,西湖, 简装 ,50.38,2000
 南 ,文三西路, 有电梯,7,南都德迦东区  ,103102486191, 4室2厅 ,730,西湖, 简装 ,162.42,2001
 东 西 ,翠苑, 无电梯,7,翠苑四区  ,103102498253, 2室1厅 ,205,西湖, 精装 ,52.22,1993
 南 北 ,文一西路, 无电梯,7,南都花园一区  ,103102539128, 2室2厅 ,360,西湖, 简装 ,76.21,1996
 南 ,文三西路, 无电梯,5,南都德迦东区  ,103102428723, 4室2厅 ,630,西湖, 精装 ,141.39,
 南 ,转塘, 无电梯,5,云溪香山  ,103102855299, 4室2厅 ,430,西湖, 简装 ,138.26,2008
 南 ,文三西路, 无电梯,7,康乐香港城  ,103102354221, 2室2厅 ,320,西湖, 简装 ,73.3,2000
 南 北 ,学军, 无电梯,6,马塍路35号  ,103102393414, 3室1厅 ,540,西湖, 简装 ,67.2,1983
 南 ,黄龙, 无电梯,6,桃园新村  ,103101870264, 3室1厅 ,465,西湖, 简装 ,72.2,1988
 南 北 ,嘉绿, 无电梯,7,嘉绿北苑  ,103101901517, 3室2厅 ,468,西湖, 简装 ,107.2,1998
 东南 ,翠苑, 有电梯,18,翠苑五区  ,103102331507, 2室1厅 ,270,西湖, 精装 ,65.01,1998
 南 ,文三西路, 无电梯,7,康乐香港城  ,103102377263, 2室1厅 ,265,西湖, 精装 ,69.37,2000
 南 北 ,翠苑, 无电梯,7,翠苑五区  ,103102462788, 3室1厅 ,320,西湖, 简装 ,76.79,1996
 南 ,转塘, 有电梯,11,佳兆业玖珑山  ,103101547271, 4室2厅 ,565,西湖, 毛坯 ,168.68,2014
 南 ,转塘, 无电梯,6,云溪香山  ,103102340496, 4室2厅 ,440,西湖, 简装 ,168.07,2008
 西 ,文三西路, 有电梯,17,山水人家彩云天  ,103102899079, 4室2厅 ,688,西湖, 简装 ,160.13,2005
 南 ,西溪, 有电梯,12,坤和西溪里璞园  ,103102151218, 2室2厅 ,410,西湖, 毛坯 ,86.56,2010
 南 ,嘉绿, 无电梯,7,嘉绿西苑  ,103102562562, 2室2厅 ,410,西湖, 简装 ,85.2,1999
 南 ,文一西路, 无电梯,7,紫林公寓  ,103102605944, 2室2厅 ,450,西湖, 简装 ,85.2,2002
 南 ,文三西路, 无电梯,7,紫金公寓  ,103102691334, 3室1厅 ,248,西湖, 简装 ,49.65,1996
 南 ,文三西路, 无电梯,6,西荡苑桃苑  ,103102694314, 2室2厅 ,282,西湖, 简装 ,59.39,2003
 南 北 ,申花, 有电梯,16,丽阳苑  ,103102709761, 2室2厅 ,470,西湖, 精装 ,89.21,2009
 南 ,文三西路, 无电梯,7,金田花园  ,103101942779, 3室2厅 ,520,西湖, 简装 ,143.34,1998
 南 北 ,文一西路, 无电梯,7,高教新村  ,103102359402, 2室1厅 ,405,西湖, 精装 ,74.98,2000
,古荡,,4,古荡新村西区  ,103101854066, 2室1厅 ,256,西湖,,,1988
 南 ,申花, 有电梯,16,上郡  ,103102595109, 3室2厅 ,450,西湖, 简装 ,89.5,2010
 南 北 ,西溪,,6,浙江油田留下小区  ,103102624452, 3室2厅 ,238,西湖, 简装,79.7,1991
 南 北 ,嘉绿,,6,物华小区  ,103102482305, 2室1厅 ,230,西湖, 简装,79.7,1998
 南 北 ,三墩, 有电梯,11,中海紫藤苑  ,103102582751, 2室2厅 ,326,西湖, 简装 ,87.3,2011
 南 北 ,文三西路, 有电梯,5,华元天鹅堡  ,103101817151, 1室1厅 ,160,西湖, 简装 ,87.3,2011
 南 北 ,文教, 有电梯,17,今日嘉园  ,103101612571, 4室2厅 ,880,西湖, 毛坯 ,155.96,2008
 东南 北 ,申花, 有电梯,18,政苑小区  ,103101878475, 3室2厅 ,680,西湖, 毛坯 ,171.65,2005
 南 ,留下, 有电梯,11,人和家园  ,103102076558, 3室2厅 ,230,西湖, 简装 ,83.06,2006
 南 北 ,文教, 有电梯,27,新德雅公寓  ,103102334418, 3室2厅 ,609,西湖, 毛坯 ,133,2000
 南 北 ,三墩, 无电梯,6,新世纪花苑  ,103102339274, 6室3厅 ,500,西湖, 简装 ,189,1998
 南 北 ,文一西路, 无电梯,6,雅仕苑  ,103102372164, 3室2厅 ,560,西湖, 简装 ,108,
 南 北 ,文教, 无电梯,6,石灰桥新村  ,103102504519, 2室1厅 ,380,西湖, 简装 ,65.02,1983
 南 ,古荡, 无电梯,6,古荡新村东区  ,103102506452, 1室1厅 ,170,西湖, 简装 ,42.51,1991
 南 ,黄龙, 无电梯,6,外东山弄  ,103102515522, 3室1厅 ,500,西湖, 简装 ,75.13,1987
 南 ,学军, 无电梯,6,邮电新村  ,103102580352, 3室1厅 ,455,西湖, 简装 ,69.46,1995
 南 北 ,三墩, 有电梯,11,三墩美都公寓  ,103102694053, 2室2厅 ,300,西湖, 简装 ,83.71,2004
 南 ,三墩, 有电梯,5,金地自在城  ,103102763888, 3室1厅 ,625,西湖, 精装 ,121.65,2012
 南 ,西溪, 有电梯,11,坤和和家园  ,103102769417, 4室2厅 ,759,西湖, 精装 ,138,2009
 南 北 ,小和山, 无电梯,6,翰墨香林苑  ,103102776142, 3室2厅 ,335,西湖, 精装 ,140.69,2007
 南 ,翠苑, 无电梯,7,翠苑东四区  ,103102922539, 3室1厅 ,295,西湖, 简装 ,66.95,1998
 南 北 ,学军, 无电梯,7,西溪河东  ,103101780329, 2室1厅 ,580,西湖, 简装 ,74.57,1996
 南 ,嘉绿, 有电梯,18,嘉绿名苑  ,103102201286, 2室2厅 ,468,西湖, 毛坯 ,98.31,2004
 南 北 ,文教, 无电梯,7,梅苑阁小区  ,103102528065, 4室2厅 ,730,西湖, 简装 ,137,1998
 南 ,申花,,33,中旅紫金名门  ,103102554534, 2室2厅 ,360,西湖, 毛坯,86.65,2016
 南 北 ,翠苑, 无电梯,7,翠苑四区  ,103102252361, 2室1厅 ,288,西湖, 简装 ,67.79,1993
 南 ,古荡, 无电梯,6,古荡新村西区  ,103102280496, 3室1厅 ,265,西湖, 简装 ,65.16,1985
 南 ,古荡, 无电梯,7,黄姑山小区  ,103102353626, 3室1厅 ,335,西湖, 简装 ,78.46,1996
 南 ,文教, 有电梯,27,华门自由21世纪  ,103102382839, 2室1厅 ,465,西湖, 简装 ,103.08,2002
 南 ,文三西路, 无电梯,6,香樟公寓  ,103102390410, 3室2厅 ,315,西湖, 简装 ,70.9,1997
 南 ,文一西路, 无电梯,6,星洲花园万黛兰居  ,103102405713, 3室3厅 ,635,西湖, 简装 ,122.42,2000
 南 ,文三西路, 无电梯,6,南都德迦西区  ,103102463260, 4室2厅 ,630,西湖, 其他 ,137.69,1999
 东 西 ,文三西路, 无电梯,7,康乐香港城  ,103102497885, 2室2厅 ,270,西湖, 简装 ,75.85,1998
